Time,X,Y,P
11002,0.205,0.334,0.022
11019,0.204,0.334,0.444
11019,0.204,0.334,0.444
11037,0.204,0.333,0.565
11059,0.204,0.331,0.681
11072,0.205,0.325,0.784
11089,0.206,0.319,0.87
11105,0.209,0.309,0.94
11126,0.212,0.301,1
11138,0.214,0.296,1
11156,0.215,0.293,1
11172,0.216,0.294,1
11190,0.217,0.3,1
11210,0.219,0.311,1
11222,0.219,0.32,1
11241,0.222,0.336,1
11257,0.223,0.344,1
11272,0.223,0.347,1
11289,0.224,0.348,1
11310,0.223,0.347,0.896
11322,0.223,0.345,0.261
11328,0.223,0.344,0.038
11329,NaN,NaN,NaN
